Longitude,Latitude,Date
-105.4967427,39.6001293,4/25/11 11:01
-105.4829647,39.6076084,4/25/11 15:01
-105.4830046,39.6076911,4/25/11 18:00
-105.4828971,39.6078459,4/25/11 21:00
-105.4829903,39.6076525,4/26/11 0:00
-105.4828426,39.6077113,4/26/11 3:01
-105.4828457,39.6077377,4/26/11 7:01
-105.4837974,39.6072339,4/26/11 11:01
-105.4827533,39.6077751,4/26/11 15:01
-105.4827335,39.6077807,4/26/11 18:00
-105.4829571,39.607778,4/26/11 21:01
-105.4826893,39.6077104,4/27/11 0:00
-105.4829778,39.6075679,4/27/11 3:01
-105.4810019,39.6068966,4/27/11 7:00
-105.4935238,39.5996828,4/27/11 11:01
-105.4825514,39.6076016,4/27/11 15:01
-105.4828947,39.6077223,4/27/11 18:02
-105.482903,39.607719,4/27/11 21:00
-105.4824886,39.6077478,4/28/11 0:01
-105.501635,39.6088531,4/28/11 3:01
-105.5018717,39.6091251,4/28/11 7:01
-105.5017902,39.6089607,4/28/11 11:01
-105.4829588,39.6074245,4/28/11 15:01
-105.4828796,39.607581,4/28/11 18:01
-105.4823928,39.6079122,4/28/11 21:01
-105.4827119,39.6076903,4/29/11 0:00
-105.4974659,39.6002398,4/29/11 7:00
-105.4992855,39.5959727,4/29/11 11:00
-105.5028298,39.5926125,4/29/11 15:01
-105.498606,39.5875384,4/29/11 18:02
-105.4965725,39.5837061,4/29/11 21:00
-105.4965694,39.5837561,4/30/11 0:00
-105.488825,39.5796125,4/30/11 3:00
-105.4795275,39.5771742,4/30/11 7:00
-105.4478721,39.5778232,4/30/11 15:02
-105.4362273,39.5779403,4/30/11 18:01
-105.4274079,39.5760524,4/30/11 21:01
-105.4247214,39.5758189,5/1/11 0:01
-105.4246951,39.5758036,5/1/11 3:00
-105.4223902,39.5618104,5/1/11 7:00
-105.4224474,39.5618611,5/1/11 11:01
-105.4021421,39.5264464,5/1/11 15:00
-105.3946446,39.5132213,5/1/11 18:00
-105.3830576,39.50405,5/1/11 21:00
-105.3807603,39.5035528,5/2/11 0:01
-105.3675629,39.4990363,5/2/11 3:02
-105.3647503,39.5001467,5/2/11 7:01
-105.3649201,39.5001795,5/2/11 11:00
-105.3634117,39.4986477,5/2/11 15:00
-105.3626264,39.4855487,5/2/11 18:01
-105.3646687,39.4763646,5/2/11 21:00
-105.3624601,39.4551331,5/3/11 0:00
-105.3633516,39.4542153,5/3/11 3:00
-105.3647121,39.4546513,5/3/11 7:01
-105.3646779,39.4547072,5/3/11 11:00
-105.36764,39.4445414,5/3/11 15:01
-105.3593178,39.4270756,5/3/11 18:00
-105.3578447,39.4180466,5/3/11 21:00
-105.3768172,39.39682,5/4/11 0:00
-105.3883817,39.3881335,5/4/11 3:00
-105.3975744,39.3845753,5/4/11 7:00
-105.3975462,39.3847438,5/4/11 11:00
-105.4029947,39.3751813,5/4/11 15:02
-105.4214788,39.3693145,5/4/11 18:00
-105.4486657,39.3786312,5/4/11 21:00
-105.451088,39.3797038,5/5/11 0:00
-105.4693226,39.3722869,5/5/11 3:01
-105.4889516,39.3653553,5/5/11 7:00
-105.5198892,39.3485562,5/5/11 15:02
-105.5334504,39.361849,5/5/11 21:01
-105.5738107,39.3818839,5/6/11 3:02
-105.5933354,39.3917697,5/6/11 7:01
-105.6028297,39.4000276,5/6/11 11:02
-105.5960499,39.4162138,5/6/11 15:00
-105.5980588,39.438795,5/6/11 18:01
-105.6173778,39.4461611,5/6/11 21:00
-105.6173549,39.4461502,5/7/11 0:00
-105.6310119,39.4445716,5/7/11 3:00
-105.636795,39.4455728,5/7/11 7:01
-105.6368151,39.4456364,5/7/11 11:01
-105.6605034,39.4562585,5/7/11 15:00
-105.6576607,39.4651241,5/7/11 18:01
-105.6505191,39.4780748,5/7/11 21:01
-105.6501394,39.480445,5/8/11 0:02
-105.6473797,39.4910533,5/8/11 3:02
-105.6416566,39.4893867,5/8/11 7:00
-105.641577,39.4893808,5/8/11 11:00
-105.6343105,39.4894907,5/8/11 15:00
-105.6147371,39.5177513,5/8/11 18:02
-105.6133553,39.5193989,5/8/11 21:02
-105.6030216,39.5265216,5/9/11 0:01
-105.5791632,39.5406779,5/9/11 3:02
-105.5752023,39.5443709,5/9/11 7:01
-105.531585,39.550847,5/9/11 11:00
-105.5077347,39.5807832,5/9/11 15:03
-105.4950659,39.59344,5/9/11 18:02
-105.4891231,39.5993995,5/9/11 21:00
-105.4827753,39.6076373,5/10/11 0:01
-105.4828933,39.6076129,5/10/11 3:00
-105.4891955,39.6100763,5/10/11 7:00
-105.4891084,39.6100356,5/10/11 11:00
-105.4845776,39.6082061,5/10/11 15:00
-105.4843603,39.6058301,5/10/11 18:00
-105.4828679,39.6073507,5/10/11 21:02
-105.4830957,39.6072554,5/11/11 0:01
-105.4831787,39.607236,5/11/11 3:00
-105.4830486,39.607107,5/11/11 7:01
-105.4860495,39.6051635,5/11/11 11:02
-105.4831338,39.6072214,5/11/11 15:01
-105.4828669,39.6076138,5/11/11 18:01
-105.4833942,39.6069976,5/11/11 21:02
-105.4831034,39.6071659,5/12/11 0:00
-105.484599,39.6058173,5/12/11 3:00
-105.4859893,39.6051804,5/12/11 7:03
-105.4860179,39.6053063,5/12/11 11:00
-105.4829592,39.6076457,5/12/11 15:01
-105.4768914,39.6150458,5/12/11 18:01
-105.4889743,39.6231579,5/12/11 21:01
-105.4888268,39.6229537,5/13/11 0:00
-105.490122,39.6219443,5/13/11 3:00
-105.4908598,39.6209924,5/13/11 11:00
-105.4894445,39.6230703,5/13/11 15:01
-105.4889585,39.6285683,5/13/11 18:00
-105.4802814,39.6288352,5/13/11 21:01
-105.4869146,39.6358414,5/14/11 0:02
-105.4934448,39.6362964,5/14/11 3:01
-105.4944622,39.637983,5/14/11 7:00
-105.4959485,39.6388172,5/14/11 11:00
-105.4970076,39.642865,5/14/11 15:00
-105.4970481,39.6428089,5/14/11 18:01
-105.495118,39.6402709,5/14/11 21:01
-105.4860321,39.6190591,5/15/11 0:01
-105.4727906,39.607093,5/15/11 3:01
-105.4717231,39.607097,5/15/11 7:01
-105.4716611,39.6074952,5/15/11 11:00
-105.4759248,39.6152814,5/15/11 15:02
-105.4523,39.6252862,5/15/11 18:00
-105.4480195,39.6330091,5/15/11 21:01
-105.4526956,39.6388501,5/16/11 0:01
-105.4485625,39.6449061,5/16/11 3:01
-105.4452071,39.6510979,5/16/11 7:01
-105.4452377,39.6511918,5/16/11 11:01
-105.4629286,39.6579383,5/16/11 15:02
-105.4918566,39.6514651,5/16/11 18:00
-105.5015586,39.6358264,5/16/11 21:00
-105.4887679,39.6201968,5/17/11 0:00
-105.4874008,39.6183915,5/17/11 3:01
-105.4872178,39.6180158,5/17/11 7:03
-105.4868437,39.6161599,5/17/11 11:00
-105.4881814,39.6069189,5/17/11 15:00